image_id,dice_score
BraTS2021_00677,tensor(94.7973)
BraTS2021_00807,tensor(91.4828)
BraTS2021_00320,tensor(79.9363)
BraTS2021_01665,tensor(66.7945)
BraTS2021_01121,tensor(97.7163)
BraTS2021_00191,tensor(97.1109)
BraTS2021_01527,tensor(95.8915)
BraTS2021_00305,tensor(94.1343)
BraTS2021_00134,tensor(93.5026)
BraTS2021_01388,tensor(97.6736)
BraTS2021_00831,tensor(76.9312)
BraTS2021_00373,tensor(67.2266)
BraTS2021_01597,tensor(85.3890)
BraTS2021_01348,tensor(80.6085)
BraTS2021_00480,tensor(96.8631)
BraTS2021_01398,tensor(92.7322)
BraTS2021_00714,tensor(97.1312)
BraTS2021_00147,tensor(80.6783)
BraTS2021_00126,tensor(96.0055)
BraTS2021_01107,tensor(89.0107)
BraTS2021_00100,tensor(94.5044)
BraTS2021_00788,tensor(67.0016)
BraTS2021_01057,tensor(95.3854)
BraTS2021_00316,tensor(96.3069)
BraTS2021_01612,tensor(95.3253)
BraTS2021_01436,tensor(93.1796)
BraTS2021_00058,tensor(77.9411)
BraTS2021_01013,tensor(82.3729)
BraTS2021_00454,tensor(88.3103)
BraTS2021_00514,tensor(83.5914)
BraTS2021_01156,tensor(96.9771)
BraTS2021_00452,tensor(97.0386)
BraTS2021_00464,tensor(85.7733)
BraTS2021_01532,tensor(88.9401)
BraTS2021_01087,tensor(92.5826)
BraTS2021_01047,tensor(93.6046)
BraTS2021_01662,tensor(97.6469)
BraTS2021_01101,tensor(96.5848)
BraTS2021_00056,tensor(91.1054)
BraTS2021_00519,tensor(94.5698)
BraTS2021_01310,tensor(68.0763)
BraTS2021_00445,tensor(94.2833)
BraTS2021_01092,tensor(98.4594)
BraTS2021_01263,tensor(87.9908)
BraTS2021_01035,tensor(35.8945)
BraTS2021_00805,tensor(88.6452)
BraTS2021_01541,tensor(93.4405)
BraTS2021_00194,tensor(97.7241)
BraTS2021_00269,tensor(94.4949)
BraTS2021_01524,tensor(95.0467)
